date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,CT,16809,38653,None,1946,None,None,None,None,None,None,1036,None,55462,55462,55462,0,0,0,0,0
20200417,CT,16809,38653,None,1946,None,None,None,None,None,None,1036,None,55462,55462,55462,65,0,1415,925,2340
20200416,CT,15884,37238,None,1926,None,None,None,None,None,None,971,None,53122,53122,53122,103,0,1850,1129,2979
20200415,CT,14755,35388,None,1908,None,None,None,None,None,None,868,None,50143,50143,50143,197,0,3536,766,4302
20200414,CT,13989,31852,None,1779,None,None,None,None,None,None,671,None,45841,45841,45841,69,0,924,608,1532
20200413,CT,13381,30928,None,1760,None,None,None,None,None,None,602,None,44309,44309,44309,48,0,1743,1346,3089
20200412,CT,12035,29185,None,1654,None,None,None,None,None,None,554,None,41220,41220,41220,60,0,864,525,1389
20200411,CT,11510,28321,None,1593,None,None,None,None,None,None,494,None,39831,39831,39831,46,0,2571,972,3543
20200410,CT,10538,25750,None,1562,None,None,None,None,None,None,448,None,36288,36288,36288,68,0,2032,754,2786
20200409,CT,9784,23718,None,1464,None,None,None,None,None,None,380,None,33502,33502,33502,103,0,2463,2003,4466
20200408,CT,7781,21255,None,1308,None,None,None,None,None,None,277,None,29036,29036,29036,0,0,0,0,0
20200407,CT,7781,21255,None,1308,None,None,None,None,None,None,277,None,29036,29036,29036,71,0,1475,875,2350
20200406,CT,6906,19780,None,1221,None,None,None,None,None,None,206,None,26686,26686,26686,17,0,2185,1231,3416
20200405,CT,5675,17595,None,1142,None,None,None,None,None,None,189,None,23270,23270,23270,24,0,842,399,1241
20200404,CT,5276,16753,None,1033,None,None,None,None,None,None,165,None,22029,22029,22029,34,0,1652,362,2014
20200403,CT,4914,15101,None,909,None,None,None,None,None,None,131,None,20015,20015,20015,19,0,625,1090,1715
20200402,CT,3824,14476,None,827,None,None,None,None,None,None,112,None,18300,18300,18300,27,0,1433,267,1700
20200401,CT,3557,13043,None,766,None,None,None,None,None,None,85,None,16600,16600,16600,16,0,14,429,443
20200331,CT,3128,13029,None,608,None,None,None,None,None,None,69,None,16157,16157,16157,33,0,1000,557,1557
20200330,CT,2571,12029,None,517,None,None,None,None,None,None,36,None,14600,14600,14600,2,0,2122,578,2700
20200329,CT,1993,9907,None,404,None,None,None,None,None,None,34,None,11900,11900,11900,7,0,2798,702,3500
20200328,CT,1291,7109,None,173,None,None,None,None,None,None,27,None,8400,8400,8400,0,0,0,0,0
20200327,CT,1291,7109,None,173,None,None,None,None,None,None,27,None,8400,8400,8400,6,0,1484,279,1763
20200326,CT,1012,5625,None,125,None,None,None,None,None,None,21,None,6637,6637,6637,2,0,602,137,739
20200325,CT,875,5023,None,113,None,None,None,None,None,None,19,None,5898,5898,5898,7,0,341,257,598
20200324,CT,618,4682,None,71,None,None,None,None,None,None,12,None,5300,5300,5300,2,0,597,203,800
20200323,CT,415,4085,None,54,None,None,None,None,None,None,10,None,4500,4500,4500,5,0,1208,192,1400
20200322,CT,223,2877,None,43,None,None,None,None,None,None,5,None,3100,3100,3100,1,0,771,29,800
20200321,CT,194,2106,None,None,None,None,None,None,None,None,4,None,2300,2300,2300,1,0,1502,0,1502
20200320,CT,194,604,None,None,None,None,None,None,None,None,3,None,798,798,798,2,0,0,98,98
20200319,CT,96,604,None,None,None,None,None,None,None,None,1,None,700,700,700,1,0,479,28,507
20200318,CT,68,125,,,,,,,,,,,193,193,193,0,0,0,27,27
20200317,CT,41,125,,,,,,,,,,,166,166,166,0,0,0,15,15
20200316,CT,26,125,,,,,,,,,,,151,151,151,0,0,0,6,6
20200315,CT,20,125,,,,,,,,,,,145,145,145,0,0,0,9,9
20200314,CT,11,125,,,,,,,,,,,136,136,136,0,0,26,5,31
20200313,CT,6,99,,,,,,,,,,,105,105,105,0,0,10,0,10
20200312,CT,6,89,,,,,,,,,,,95,95,95,0,0,18,3,21
20200311,CT,3,71,,,,,,,,,,,74,74,74,0,0,17,1,18
20200310,CT,2,54,,,,,,,,,,,56,56,56,0,0,8,1,9
20200309,CT,1,46,,,,,,,,,,,47,47,47,0,0,17,0,17
20200308,CT,1,29,8,,,,,,,,,,38,30,30,0,0,29,1,30
20200307,CT,0,,,,,,,,,,,,0,0,0,None,None,None,None,None
