date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200418,DC,2666,10602,None,313,None,105,None,79,None,608,91,None,13268,13268,13268,5,0,435,190,625
20200417,DC,2476,10167,None,313,None,105,None,79,None,573,86,None,12643,12643,12643,5,0,367,126,493
20200416,DC,2350,9800,None,313,None,105,None,79,None,552,81,None,12150,12150,12150,9,0,472,153,625
20200415,DC,2197,9328,None,313,None,105,None,79,None,530,72,None,11525,11525,11525,5,0,-132,139,7
20200414,DC,2058,9460,None,295,None,95,None,31,None,518,67,None,11518,11518,11518,14,0,481,103,584
20200413,DC,1955,8979,None,295,None,95,None,31,None,507,53,None,10934,10934,10934,3,0,214,80,294
20200412,DC,1875,8765,None,None,None,None,None,None,None,493,50,None,10640,10640,10640,3,0,504,97,601
20200411,DC,1778,8261,None,None,None,None,None,None,None,447,47,None,10039,10039,10039,9,0,566,118,684
20200410,DC,1660,7695,None,None,None,None,None,None,None,426,38,None,9355,9355,9355,6,0,494,137,631
20200409,DC,1523,7201,None,None,None,None,None,None,None,393,32,None,8724,8724,8724,5,0,358,83,441
20200408,DC,1440,6843,None,None,None,None,None,None,None,361,27,None,8283,8283,8283,5,0,231,229,460
20200407,DC,1211,6612,None,None,None,None,None,None,None,318,22,None,7823,7823,7823,-2,0,256,114,370
20200406,DC,1097,6356,None,None,None,None,None,None,None,287,24,None,7453,7453,7453,2,0,520,99,619
20200405,DC,998,5836,None,None,None,None,None,None,None,258,22,None,6834,6834,6834,1,0,300,96,396
20200404,DC,902,5536,None,None,None,None,None,None,None,235,21,None,6438,6438,6438,6,0,709,145,854
20200403,DC,757,4827,None,None,None,None,None,None,None,206,15,None,5584,5584,5584,3,0,410,104,514
20200402,DC,653,4417,None,None,None,None,None,None,None,173,12,None,5070,5070,5070,1,0,1155,67,1222
20200401,DC,586,3262,2,None,None,None,None,None,None,142,11,None,3850,3848,3848,2,0,0,91,91
20200331,DC,495,3262,2,None,None,None,None,None,None,121,9,None,3759,3757,3757,0,0,580,94,674
20200330,DC,401,2682,2,None,None,None,None,None,None,106,9,None,3085,3083,3083,4,0,213,59,272
20200329,DC,342,2469,1,None,None,None,None,None,None,66,5,None,2812,2811,2811,1,0,258,38,296
20200328,DC,304,2211,1,None,None,None,None,None,None,51,4,None,2516,2515,2515,1,0,314,37,351
20200327,DC,267,1897,2,None,None,None,None,None,None,49,3,None,2166,2164,2164,0,0,271,36,307
20200326,DC,231,1626,1,None,None,None,None,None,None,21,3,None,1858,1857,1857,1,0,203,48,251
20200325,DC,183,1423,3,None,None,None,None,None,None,None,2,None,1609,1606,1606,0,0,228,46,274
20200324,DC,137,1195,2,None,None,None,None,None,None,None,2,None,1334,1332,1332,0,0,82,21,103
20200323,DC,116,1113,None,None,None,None,None,None,None,None,2,None,1229,1229,1229,1,0,156,18,174
20200322,DC,98,957,None,None,None,None,None,None,None,None,1,None,1055,1055,1055,0,0,451,21,472
20200321,DC,77,506,0,None,None,None,None,None,None,None,1,None,583,583,583,0,0,5,6,11
20200320,DC,71,501,1,None,None,None,None,None,None,None,1,None,573,572,572,1,0,348,32,380
20200319,DC,39,153,11,None,None,None,None,None,None,None,0,None,203,192,192,0,0,15,8,23
20200318,DC,31,138,1,,,,,,,,,,170,169,169,0,0,34,9,43
20200317,DC,22,104,0,,,,,,,,,,126,126,126,0,0,8,5,13
20200316,DC,17,96,7,,,,,,,,,,120,113,113,0,0,17,1,18
20200315,DC,16,79,20,,,,,,,,,,115,95,95,0,0,30,6,36
20200314,DC,10,49,10,,,,,,,,,,69,59,59,0,0,29,0,29
20200313,DC,10,20,,,,,,,,,,,30,30,30,0,0,0,0,0
20200312,DC,10,20,,,,,,,,,,,30,30,30,0,0,0,5,5
20200311,DC,5,20,15,,,,,,,,,,40,25,25,0,0,3,0,3
20200310,DC,5,17,2,,,,,,,,,,24,22,22,0,0,3,4,7
20200309,DC,1,14,3,,,,,,,,,,18,15,15,0,0,4,0,4
20200308,DC,1,10,0,,,,,,,,,,11,11,11,0,0,2,1,3
20200307,DC,0,8,1,,,,,,,,,,9,8,8,0,0,0,0,0
20200306,DC,0,8,1,,,,,,,,,,9,8,8,0,0,2,0,2
20200305,DC,0,6,2,,,,,,,,,,8,6,6,None,None,None,None,None
